vertex_num,face_num
16401,30572
4121,7276
8116,14962
16651,31120
10228,18296
11817,22853
19955,37208
7719,14088
16553,30954
10322,19348
7477,14301
8801,16744
7865,14717
8166,14982
10132,19686
22915,42908
14488,26807
9533,17486
14306,26678
10670,19920
20226,38230
22377,41580
4132,7284
11354,21270
3876,7054
20602,38678
19764,37426
11983,22036
8437,15631
16363,29812
2938,5373
3947,7190
10975,20757
12520,23490
23642,44677
27542,51836
12642,23620
14766,27600
10261,19108
15298,29240
7980,14368
21422,39891
6440,12084
13274,24937
13528,26172
23199,43600
15258,29212
4314,7839
5504,9826
44304,84822
8915,16242
14785,27747
32859,63514
7058,12426
19082,36037
7645,14388
9493,17498
4249,7855
9076,17495
13308,24557
14825,27431
23233,44633
18194,34366
16403,30804
12130,23340
16773,32206
5340,9814
29358,56334
8248,15879
21121,39942
5114,9388
15863,30066
17960,33185
18202,34608
25232,48362
5055,9228
11026,20744
13001,24430
23879,45124
7992,14562
12295,23716
19928,37868
11699,21764
28127,53224
9898,18116
12765,24448
11561,22074
20879,38858
11660,21574
6067,11132
6254,11851
7976,15221
12745,24746
7700,14589
5886,10470
15234,28424
25250,48433
22315,41937
9028,16127
33507,64996
12149,22230
24993,46543
15128,28444
13432,25858
43354,77276
16943,32209
16245,30644
13070,24410
18359,34932
17795,33189
9660,17496
22929,42706
11247,21551
20378,39653
11487,21756
15831,29292
12745,24746
10174,19400
5196,9470
8444,15083
10569,19508
30658,58872
6120,11694
20095,38372
14969,28052
9632,18524
23234,44264
37229,72185
8919,16446
17149,31919
19926,37282
13547,25978
4329,8082
15604,29592
12478,23604
7882,14730
11370,20636
15105,27738
18272,34442
6601,12221
14589,27574
2786,4992
2568,4466
15108,28848
8865,17042
13558,26294
10988,20312
6895,13126
11345,20864
26403,51340
10982,20848
8455,15506
23556,44444
5880,11150
4329,8082
19201,35582
3448,6212
8003,14935
11284,21371
11935,22590
11522,21086
10073,18372
7554,14036
9577,18036
25833,50504
7524,14196
3481,6268
3448,6212
8269,14756
17790,32964
7874,15095
5300,9948
23962,45408
13177,25188
17715,33213
19299,36716
4051,7510
3133,5658
4192,7692
13543,25430
11323,21310
12969,23082
4458,8036
24540,47306
9390,17348
26240,48166
5879,11200
2350,4222
16665,31186
3301,5978
7943,15233
7717,13930
11185,20304
23055,43672
1968,3480
13379,25260
16029,30518
15661,29350
3451,6245
12016,22664
5586,9856
25115,48479
